title;link;published;summary
Multiples vulnérabilités dans les produits Mattermost (22 mai 2026);https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0632/;Fri, 22 May 2026 00:00:00 +0000;De multiples vulnérabilités ont été découvertes dans les produits Mattermost. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur.
Multiples vulnérabilités dans FreeBSD (10 juin 2026);https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0716/;Wed, 10 Jun 2026 00:00:00 +0000;De multiples vulnérabilités ont été découvertes dans FreeBSD. Elles permettent à un attaquant de provoquer une élévation de privilèges.
Multiples vulnérabilités dans GitLab (11 juin 2026);https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0733/;Thu, 11 Jun 2026 00:00:00 +0000;De multiples vulnérabilités ont été découvertes dans GitLab. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, un déni de service à distance et une falsification de requêtes côté serveur (SSRF).
Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026);https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/;Thu, 11 Jun 2026 00:00:00 +0000;De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.
Multiples vulnérabilités dans MongoDB (11 juin 2026);https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0735/;Thu, 11 Jun 2026 00:00:00 +0000;De multiples vulnérabilités ont été découvertes dans MongoDB. Elles permettent à un attaquant de provoquer un déni de service à distance et une atteinte à la confidentialité des données.
Multiples vulnérabilités dans les produits Splunk (11 juin 2026);https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0736/;Thu, 11 Jun 2026 00:00:00 +0000;De multiples vulnérabilités ont été découvertes dans les produits Splunk. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une atteinte à la confidentialité des données et une falsification de requêtes côté serveur (SSRF).
Multiples vulnérabilités dans les produits Microsoft (11 juin 2026);https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0737/;Thu, 11 Jun 2026 00:00:00 +0000;De multiples vulnérabilités ont été découvertes dans les produits Microsoft. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur.
Vulnérabilité dans Traefik (11 juin 2026);https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0738/;Thu, 11 Jun 2026 00:00:00 +0000;Une vulnérabilité a été découverte dans Traefik. Elle permet à un attaquant de provoquer un contournement de la politique de sécurité.
Multiples vulnérabilités dans les produits Spring (11 juin 2026);https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0739/;Thu, 11 Jun 2026 00:00:00 +0000;De multiples vulnérabilités ont été découvertes dans les produits Spring. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une atteinte à la confidentialité des données et une falsification de requêtes côté serveur (SSRF).
Vulnérabilité dans LibreNMS (11 juin 2026);https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0732/;Thu, 11 Jun 2026 00:00:00 +0000;Une vulnérabilité a été découverte dans LibreNMS. Elle permet à un attaquant de provoquer une exécution de code arbitraire à distance.
Multiples vulnérabilités dans Google Chrome (12 juin 2026);https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0740/;Fri, 12 Jun 2026 00:00:00 +0000;De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur.
